,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,state_cleaned,City
0,Anhui,Mainland China,31.8257,117.2264,2020-01-22,1,0,0,Anhui,
1,Beijing,Mainland China,40.1824,116.4142,2020-01-22,14,0,0,Beijing,
2,Chongqing,Mainland China,30.0572,107.874,2020-01-22,6,0,0,Chongqing,
3,Fujian,Mainland China,26.0789,117.9874,2020-01-22,1,0,0,Fujian,
4,Gansu,Mainland China,36.0611,103.8343,2020-01-22,0,0,0,Gansu,
5,Guangdong,Mainland China,23.3417,113.4244,2020-01-22,26,0,0,Guangdong,
6,Guangxi,Mainland China,23.8298,108.7881,2020-01-22,2,0,0,Guangxi,
7,Guizhou,Mainland China,26.8154,106.8748,2020-01-22,1,0,0,Guizhou,
8,Hainan,Mainland China,19.1959,109.7453,2020-01-22,4,0,0,Hainan,
9,Hebei,Mainland China,38.0428,114.5149,2020-01-22,1,0,0,Hebei,
10,Heilongjiang,Mainland China,47.861999999999995,127.7615,2020-01-22,0,0,0,Heilongjiang,
11,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-22,5,0,0,Henan,
12,Hubei,Mainland China,30.9756,112.2707,2020-01-22,444,17,28,Hubei,
13,Hunan,Mainland China,27.6104,111.7088,2020-01-22,4,0,0,Hunan,
14,Inner Mongolia,Mainland China,44.0935,113.9448,2020-01-22,0,0,0,Inner Mongolia,
15,Jiangsu,Mainland China,32.9711,119.455,2020-01-22,1,0,0,Jiangsu,
16,Jiangxi,Mainland China,27.614,115.7221,2020-01-22,2,0,0,Jiangxi,
17,Jilin,Mainland China,43.6661,126.1923,2020-01-22,0,0,0,Jilin,
18,Liaoning,Mainland China,41.2956,122.6085,2020-01-22,2,0,0,Liaoning,
19,Ningxia,Mainland China,37.2692,106.1655,2020-01-22,1,0,0,Ningxia,
20,Qinghai,Mainland China,35.7452,95.9956,2020-01-22,0,0,0,Qinghai,
21,Shaanxi,Mainland China,35.1917,108.8701,2020-01-22,0,0,0,Shaanxi,
22,Shandong,Mainland China,36.3427,118.1498,2020-01-22,2,0,0,Shandong,
23,Shanghai,Mainland China,31.201999999999998,121.4491,2020-01-22,9,0,0,Shanghai,
24,Shanxi,Mainland China,37.5777,112.2922,2020-01-22,1,0,0,Shanxi,
25,Sichuan,Mainland China,30.6171,102.7103,2020-01-22,5,0,0,Sichuan,
26,Tianjin,Mainland China,39.3054,117.323,2020-01-22,4,0,0,Tianjin,
27,Tibet,Mainland China,31.6927,88.0924,2020-01-22,0,0,0,Tibet,
28,Xinjiang,Mainland China,41.1129,85.2401,2020-01-22,0,0,0,Xinjiang,
29,Yunnan,Mainland China,24.974,101.48700000000001,2020-01-22,1,0,0,Yunnan,
30,Zhejiang,Mainland China,29.1832,120.0934,2020-01-22,10,0,0,Zhejiang,
31,,Thailand,15.0,101.0,2020-01-22,2,0,0,Bangkok,
32,,Japan,36.0,138.0,2020-01-22,2,0,0,Hiraide,
33,"King County, WA",US,47.6062,-122.3321,2020-01-22,1,0,0,Washington,King County
34,"Cook County, IL",US,41.7377,-87.6976,2020-01-22,0,0,0,Illinois,Cook County
35,,Singapore,1.2833,103.8333,2020-01-22,0,0,0,Singapore,
36,,France,47.0,2.0,2020-01-22,0,0,0,Paris,
37,,Nepal,28.1667,84.25,2020-01-22,0,0,0,Kathmandu,
38,,Malaysia,2.5,112.5,2020-01-22,0,0,0,Sarawak,
39,British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,0,British Columbia,
40,"Los Angeles, CA",US,34.0522,-118.2437,2020-01-22,0,0,0,California,Los Angeles
41,New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,New South Wales,
42,Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,Victoria,
43,Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,0,Queensland,
44,,Cambodia,11.55,104.9167,2020-01-22,0,0,0,Phnom Penh,
45,,Sri Lanka,7.0,81.0,2020-01-22,0,0,0,Sri Jayawardenapura Kotte,
46,,Germany,51.0,9.0,2020-01-22,0,0,0,Berlin,
47,,Finland,64.0,26.0,2020-01-22,0,0,0,Helsinki,
48,,United Arab Emirates,24.0,54.0,2020-01-22,0,0,0,Abu Dhabi,
49,,Philippines,13.0,122.0,2020-01-22,0,0,0,Manila,
50,,India,21.0,78.0,2020-01-22,0,0,0,New Delhi,
51,,Italy,43.0,12.0,2020-01-22,0,0,0,Rome,
52,,United Kingdom,55.0,-3.0,2020-01-22,0,0,0,London,
53,,Sweden,63.0,16.0,2020-01-22,0,0,0,Stockholm,
54,,Spain,40.0,-4.0,2020-01-22,0,0,0,Toledo,
55,South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,South Australia,
56,"San Benito, CA",US,36.5761,-120.9876,2020-01-22,0,0,0,California,San Benito
57,,Belgium,50.8333,4.0,2020-01-22,0,0,0,Brussels,
58,Diamond Princess cruise ship,Others,35.4437,139.638,2020-01-22,0,0,0,Diamond Princess cruise ship,
59,"San Diego County, CA",US,32.7157,-117.1611,2020-01-22,0,0,0,California,San Diego County
60,,Egypt,26.0,30.0,2020-01-22,0,0,0,Cairo,
61,From Diamond Princess,Australia,35.4437,139.638,2020-01-22,0,0,0,From Diamond Princess,
62,,Lebanon,33.8547,35.8623,2020-01-22,0,0,0,Zahlé,
63,"Humboldt County, CA",US,40.745,-123.8695,2020-01-22,0,0,0,California,Humboldt County
64,"Sacramento County, CA",US,38.4747,-121.3542,2020-01-22,0,0,0,California,Sacramento County
65,,Iraq,33.0,44.0,2020-01-22,0,0,0,Fallujah,
66,,Oman,21.0,57.0,2020-01-22,0,0,0,Muscat,
67,,Afghanistan,33.0,65.0,2020-01-22,0,0,0,Baghran,
68,,Bahrain,26.0275,50.55,2020-01-22,0,0,0,Manama,
69,,Kuwait,29.5,47.75,2020-01-22,0,0,0,Kuwait City,
70,,Algeria,28.0339,1.6596,2020-01-22,0,0,0,Timokten,
71,,Croatia,45.1,15.2,2020-01-22,0,0,0,Jezerane,
72,,Switzerland,46.8182,8.2275,2020-01-22,0,0,0,Bern,
73,,Austria,47.5162,14.5501,2020-01-22,0,0,0,Vienna,
74,,Israel,31.0,35.0,2020-01-22,0,0,0,Jerusalem,
75,,Pakistan,30.3753,69.3451,2020-01-22,0,0,0,Balochistan,
76,,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,Brasília,
77,,Georgia,42.3154,43.3569,2020-01-22,0,0,0,Imereti,
