Country,Lat,Long,Date,Confirmed,Death,Recovered
Italy,43,12,2/23/2020,155,3,2
Italy,43,12,3/1/2020,1539,31,81
Italy,43,12,3/8/2020,5681,332,539
Italy,43,12,3/15/2020,17372,1443,1713
Italy,43,12,3/22/2020,34391,3667,4689
Italy,43,12,3/29/2020,38551,5303,6006
Italy,43,12,4/5/2020,31259,5108,8785
Italy,43,12,4/12/2020,27415,4012,12396
Italy,43,12,4/19/2020,22609,3761,12844
Italy,43,12,4/26/2020,18703,2984,17873
Germany,51,9,2/23/2020,16,0,14
Germany,51,9,3/1/2020,114,0,2
Germany,51,9,3/8/2020,910,0,2
Germany,51,9,3/15/2020,4755,11,28
Germany,51,9,3/22/2020,19078,83,220
Germany,51,9,3/29/2020,37222,439,8945
Germany,51,9,4/5/2020,38028,1051,19489
Germany,51,9,4/12/2020,27731,1438,31600
Germany,51,9,4/19/2020,17330,1564,27700
Germany,51,9,4/26/2020,12586,1390,24000
Spain,40,-4,2/23/2020,2,0,2
Spain,40,-4,3/1/2020,82,0,0
Spain,40,-4,3/8/2020,589,17,28
Spain,40,-4,3/15/2020,7125,272,487
Spain,40,-4,3/22/2020,20970,1483,2058
Spain,40,-4,3/29/2020,51342,5031,12134
Spain,40,-4,4/5/2020,51536,5838,23371
Spain,40,-4,4/12/2020,35185,4568,24311
Spain,40,-4,4/19/2020,31843,3244,14966
Spain,40,-4,4/26/2020,27955,2737,40370
