Quarter,Revenue,Net Income
3/31/2020,75452,2535
12/31/2019,87437,3268
9/30/2019,69981,2134
6/30/2019,63404,2625
3/31/2019,59700,3561
12/31/2018,72383,3027
9/30/2018,56576,2883
6/30/2018,52886,2534
3/31/2018,51042,1629
12/31/2017,60453,1856
9/30/2017,43744,256
6/30/2017,37955,197
3/31/2017,35714,724
12/31/2016,43741,749
9/30/2016,32714,252
6/30/2016,30404,857
3/31/2016,29128,513
12/31/2015,35746,482
9/30/2015,25358,79
6/30/2015,23185,92
3/31/2015,22717,-57
12/31/2014,29328,214
9/30/2014,20579,-437
6/30/2014,19340,-126
3/31/2014,19741,108
12/31/2013,25586,240
9/30/2013,17092,-41
6/30/2013,15704,-7
3/31/2013,16070,82
12/31/2012,21268,98
9/30/2012,13806,-274
6/30/2012,12834,7
3/31/2012,13185,130
12/31/2011,17431,176
9/30/2011,10876,63
6/30/2011,9913,191
3/31/2011,9857,201
12/31/2010,12947,415
9/30/2010,7560,231
6/30/2010,6566,207
3/31/2010,7131,299
12/31/2009,9520,384
9/30/2009,5449,199
6/30/2009,4651,142
3/31/2009,4889,177
12/31/2008,6704,226
9/30/2008,4264,118
6/30/2008,4063,158
3/31/2008,4135,143
12/31/2007,5672,207
9/30/2007,3262,80
6/30/2007,2886,78
3/31/2007,3015,111
12/31/2006,3986,98
9/30/2006,2307,19
6/30/2006,2139,22
3/31/2006,2279,51
12/31/2005,2977,199
9/30/2005,1858,30
6/30/2005,1753,52
3/31/2005,1902,78
