date,Appliances,lights,T_out,Press_mm_hg,RH_out,Windspeed,Tdewpoint,Visibility
1/11/2016 17:00,60,30,6.6,733.5,92,7,5.3,63
1/11/2016 17:10,60,30,6.483333333,733.6,92,6.666666667,5.2,59.16666667
1/11/2016 17:20,50,30,6.366666667,733.7,92,6.333333333,5.1,55.33333333
1/11/2016 17:30,50,40,6.25,733.8,92,6,5,51.5
1/11/2016 17:40,60,40,6.133333333,733.9,92,5.666666667,4.9,47.66666667
1/11/2016 17:50,50,40,6.016666667,734,92,5.333333333,4.8,43.83333333
1/11/2016 18:00,60,50,5.9,734.1,92,5,4.7,40
1/11/2016 18:10,60,50,5.916666667,734.1666667,91.83333333,5.166666667,4.683333333,40
1/11/2016 18:20,60,40,5.933333333,734.2333333,91.66666667,5.333333333,4.666666667,40
1/11/2016 18:30,70,40,5.95,734.3,91.5,5.5,4.65,40
1/11/2016 18:40,230,70,5.966666667,734.3666667,91.33333333,5.666666667,4.633333333,40
1/11/2016 18:50,580,60,5.983333333,734.4333333,91.16666667,5.833333333,4.616666667,40
1/11/2016 19:00,430,50,6,734.5,91,6,4.6,40
1/11/2016 19:10,250,40,6,734.6166667,90.5,6,4.516666667,40
1/11/2016 19:20,100,10,6,734.7333333,90,6,4.433333333,40
1/11/2016 19:30,100,10,6,734.85,89.5,6,4.35,40
1/11/2016 19:40,90,10,6,734.9666667,89,6,4.266666667,40
1/11/2016 19:50,70,30,6,735.0833333,88.5,6,4.183333333,40
1/11/2016 20:00,80,30,6,735.2,88,6,4.1,40
1/11/2016 20:10,140,40,6,735.2333333,87.83333333,6,4.066666667,40
1/11/2016 20:20,120,20,6,735.2666667,87.66666667,6,4.033333333,40
1/11/2016 20:30,190,40,6,735.3,87.5,6,4,40
1/11/2016 20:40,110,40,6,735.3333333,87.33333333,6,3.966666667,40
1/11/2016 20:50,110,40,6,735.3666667,87.16666667,6,3.933333333,40
1/11/2016 21:00,110,30,6,735.4,87,6,3.9,40
1/11/2016 21:10,110,20,5.933333333,735.4666667,87.16666667,6,3.866666667,40
1/11/2016 21:20,100,30,5.866666667,735.5333333,87.33333333,6,3.833333333,40
1/11/2016 21:30,100,20,5.8,735.6,87.5,6,3.8,40
1/11/2016 21:40,100,20,5.733333333,735.6666667,87.66666667,6,3.766666667,40
1/11/2016 21:50,100,20,5.666666667,735.7333333,87.83333333,6,3.733333333,40
1/11/2016 22:00,110,20,5.6,735.8,88,6,3.7,40
1/11/2016 22:10,400,20,5.65,735.8833333,87.83333333,6.166666667,3.716666667,40
1/11/2016 22:20,400,20,5.7,735.9666667,87.66666667,6.333333333,3.733333333,40
1/11/2016 22:30,390,30,5.75,736.05,87.5,6.5,3.75,40
1/11/2016 22:40,240,20,5.8,736.1333333,87.33333333,6.666666667,3.766666667,40
1/11/2016 22:50,60,20,5.85,736.2166667,87.16666667,6.833333333,3.783333333,40
1/11/2016 23:00,60,20,5.9,736.3,87,7,3.8,40
1/11/2016 23:10,60,20,5.8,736.4,87.83333333,6.833333333,3.85,37
1/11/2016 23:20,50,10,5.7,736.5,88.66666667,6.666666667,3.9,34
1/11/2016 23:30,70,20,5.6,736.6,89.5,6.5,3.95,31
1/11/2016 23:40,60,20,5.5,736.7,90.33333333,6.333333333,4,28
1/11/2016 23:50,40,20,5.4,736.8,91.16666667,6.166666667,4.05,25
1/12/2016 0:00,40,10,5.3,736.9,92,6,4.1,22
1/12/2016 0:10,30,20,5.266666667,737,92,6,4.066666667,25
1/12/2016 0:20,40,20,5.233333333,737.1,92,6,4.033333333,28
1/12/2016 0:30,50,20,5.2,737.2,92,6,4,31
1/12/2016 0:40,310,10,5.166666667,737.3,92,6,3.966666667,34
1/12/2016 0:50,380,20,5.133333333,737.4,92,6,3.933333333,37
1/12/2016 1:00,380,20,5.1,737.5,92,6,3.9,40
1/12/2016 1:10,370,20,5.116666667,737.6333333,92,5.833333333,3.916666667,40
1/12/2016 1:20,120,10,5.133333333,737.7666667,92,5.666666667,3.933333333,40
1/12/2016 1:30,50,0,5.15,737.9,92,5.5,3.95,40
1/12/2016 1:40,40,0,5.166666667,738.0333333,92,5.333333333,3.966666667,40
1/12/2016 1:50,50,0,5.183333333,738.1666667,92,5.166666667,3.983333333,40
1/12/2016 2:00,40,0,5.2,738.3,92,5,4,40
1/12/2016 2:10,50,0,5.133333333,738.4,92,4.833333333,3.933333333,40
1/12/2016 2:20,50,0,5.066666667,738.5,92,4.666666667,3.866666667,40
