customerID,TotChargesAct
7590-VHVEG,29.85
5575-GNVDE,1889.5
3668-QPYBK,108.15
7795-CFOCW,1840.75
9237-HQITU,151.65
9305-CDSKC,820.5
1452-KIOVK,1949.4
6713-OKOMC,301.9
7892-POOKP,3046.05
6388-TABGU,3487.95
9763-GRSKD,587.45
7469-LKBCI,326.8
8091-TTVAX,5681.1
0280-XJGEX,5036.3
5129-JLPIS,2686.05
3655-SNQYZ,7895.15
8191-XWSZG,1022.95
9959-WOFKT,7382.25
4190-MFLUW,528.35
4183-MYFRB,1862.9
8779-QRDMV,39.65
1680-VDCWW,202.25
1066-JKSGK,20.15
3638-WEABW,3505.1
6322-HRPFA,2970.3
6865-JZNKO,1530.6
6467-CHFZW,4749.15
8665-UTDHZ,30.2
5248-YGIJN,6369.45
8773-HHUOZ,1093.1
3841-NFECX,6766.95
4929-XIHVW,181.65
6827-IEAUQ,1874.45
7310-EGVHZ,20.2
3413-BMNZE,45.25
6234-RAAPL,7251.7
6047-YHPVI,316.9
6572-ADKRS,3548.3
5380-WJKOV,3549.25
8168-UQWWF,1105.4
8865-TNMNX,475.7
9489-DEDVP,4872.35
9867-JCZSP,418.25
4671-VJLCL,4861.45
4080-IIARD,981.45
3714-NTNFO,3906.7
5948-UJZLF,97
7760-OYPDY,144.15
7639-LIAYI,4217.8
2954-PIBKO,4254.1
8012-SOUDQ,3838.75
9420-LOJKX,1426.4
6575-SUVOI,1752.65
7495-OOKFY,633.3
4667-QONEA,4456.35
1658-BYGOY,1752.55
8769-KKTPH,6311.2
5067-XJQFU,7076.35
3957-SQXML,894.3
5954-BDFSG,7853.7
0434-CSFON,4707.1
1215-FIGMP,5450.7
0526-SXDJP,2962
0557-ASKVU,957.1
5698-BQJOH,857.25
5122-CYFXA,244.1
8627-ZYGSZ,3650.35
3410-YOQBQ,2497.2
3170-NMYVV,930.9
7410-OIEDU,887.35
2273-QCKXA,49.05
0731-EBJQB,1090.65
1891-QRQSA,7099
8028-PNXHQ,1424.6
5630-AHZIL,177.4
2673-CXQEU,6139.5
6416-JNVRK,2688.85
5590-ZSKRV,482.25
0191-ZHSKZ,2111.3
3887-PBQAO,1216.6
5919-TMRGD,79.35
8108-UXRQN,565.35
9191-MYQKX,496.9
9919-YLNNG,4327.5
0318-ZOPWS,973.35
4445-ZJNMU,918.75
4808-YNLEU,2215.45
1862-QRWPE,1057
2796-NNUFI,927.1
