customerID,SeniorCitizen,tenure,ServiceCount,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotChargesAct
7590-VHVEG,0,1,2,Month-to-month,Yes,29.85,29.85,No,29.85
5575-GNVDE,0,34,4,One year,No,56.95,1889.5,No,1889.5
3668-QPYBK,0,2,4,Month-to-month,Yes,53.85,108.15,Yes,108.15
7795-CFOCW,0,45,4,One year,No,42.3,1840.75,No,1840.75
9237-HQITU,0,2,2,Month-to-month,Yes,70.7,151.65,Yes,151.65
9305-CDSKC,0,8,6,Month-to-month,Yes,99.65,820.5,Yes,820.5
1452-KIOVK,0,22,5,Month-to-month,Yes,89.1,1949.4,No,1949.4
6713-OKOMC,0,10,2,Month-to-month,No,29.75,301.9,No,301.9
7892-POOKP,0,28,7,Month-to-month,Yes,104.8,3046.05,Yes,3046.05
6388-TABGU,0,62,4,One year,No,56.15,3487.95,No,3487.95
9763-GRSKD,0,13,3,Month-to-month,Yes,49.95,587.45,No,587.45
7469-LKBCI,0,16,7,Two year,No,18.95,326.8,No,326.8
8091-TTVAX,0,58,6,One year,No,100.35,5681.1,No,5681.1
0280-XJGEX,0,49,7,Month-to-month,Yes,103.7,5036.3,Yes,5036.3
5129-JLPIS,0,25,7,Month-to-month,Yes,105.5,2686.05,No,2686.05
3655-SNQYZ,0,69,9,Two year,No,113.25,7895.15,No,7895.15
8191-XWSZG,0,52,7,One year,No,20.65,1022.95,No,1022.95
9959-WOFKT,0,71,7,Two year,No,106.7,7382.25,No,7382.25
4190-MFLUW,0,10,4,Month-to-month,No,55.2,528.35,Yes,528.35
4183-MYFRB,0,21,5,Month-to-month,Yes,90.05,1862.9,No,1862.9
8779-QRDMV,1,1,3,Month-to-month,Yes,39.65,39.65,Yes,39.65
1680-VDCWW,0,12,7,One year,No,19.8,202.25,No,202.25
1066-JKSGK,0,1,7,Month-to-month,No,20.15,20.15,Yes,20.15
3638-WEABW,0,58,5,Two year,Yes,59.9,3505.1,No,3505.1
6322-HRPFA,0,49,5,Month-to-month,No,59.6,2970.3,No,2970.3
6865-JZNKO,0,30,4,Month-to-month,Yes,55.3,1530.6,No,1530.6
6467-CHFZW,0,47,6,Month-to-month,Yes,99.35,4749.15,Yes,4749.15
8665-UTDHZ,0,1,2,Month-to-month,No,30.2,30.2,Yes,30.2
5248-YGIJN,0,72,9,Two year,Yes,90.25,6369.45,No,6369.45
8773-HHUOZ,0,17,4,Month-to-month,Yes,64.7,1093.1,Yes,1093.1
3841-NFECX,1,71,7,Two year,Yes,96.35,6766.95,No,6766.95
4929-XIHVW,1,2,5,Month-to-month,Yes,95.5,181.65,No,181.65
6827-IEAUQ,0,27,6,One year,No,66.15,1874.45,No,1874.45
7310-EGVHZ,0,1,7,Month-to-month,No,20.2,20.2,No,20.2
3413-BMNZE,1,1,2,Month-to-month,No,45.25,45.25,No,45.25
6234-RAAPL,0,72,7,Two year,No,99.9,7251.7,No,7251.7
6047-YHPVI,0,5,2,Month-to-month,Yes,69.7,316.9,Yes,316.9
6572-ADKRS,0,46,3,Month-to-month,Yes,74.8,3548.3,No,3548.3
5380-WJKOV,0,34,7,Month-to-month,Yes,106.35,3549.25,Yes,3549.25
8168-UQWWF,0,11,6,Month-to-month,Yes,97.85,1105.4,Yes,1105.4
8865-TNMNX,0,10,3,One year,No,49.55,475.7,No,475.7
9489-DEDVP,0,70,6,Two year,Yes,69.2,4872.35,No,4872.35
9867-JCZSP,0,17,7,One year,No,20.75,418.25,No,418.25
4671-VJLCL,0,63,8,Two year,Yes,79.85,4861.45,No,4861.45
4080-IIARD,0,13,7,Month-to-month,Yes,76.2,981.45,No,981.45
3714-NTNFO,0,49,4,Month-to-month,Yes,84.5,3906.7,No,3906.7
5948-UJZLF,0,2,3,Month-to-month,No,49.25,97,No,97
7760-OYPDY,0,2,3,Month-to-month,Yes,80.65,144.15,Yes,144.15
7639-LIAYI,0,52,7,Two year,Yes,79.75,4217.8,No,4217.8
2954-PIBKO,0,69,6,Two year,Yes,64.15,4254.1,No,4254.1
8012-SOUDQ,1,43,5,Month-to-month,Yes,90.25,3838.75,No,3838.75
9420-LOJKX,0,15,6,Month-to-month,Yes,99.1,1426.4,Yes,1426.4
6575-SUVOI,1,25,6,Month-to-month,Yes,69.5,1752.65,No,1752.65
7495-OOKFY,1,8,4,Month-to-month,Yes,80.65,633.3,Yes,633.3
4667-QONEA,1,60,7,One year,Yes,74.85,4456.35,No,4456.35
1658-BYGOY,1,18,5,Month-to-month,Yes,95.45,1752.55,Yes,1752.55
8769-KKTPH,0,63,6,One year,Yes,99.65,6311.2,No,6311.2
5067-XJQFU,1,66,8,One year,Yes,108.45,7076.35,No,7076.35
3957-SQXML,0,34,8,Two year,No,24.95,894.3,No,894.3
