,State,Country,Lat,Long,Date,Confirmed,Death,Recovered,state_cleaned,City
0,,Thailand,15.0,101.0,2020-01-22,2,0,0,Bangkok,
1,,Japan,36.0,138.0,2020-01-22,2,0,0,Hiraide,
2,,Singapore,1.2833,103.8333,2020-01-22,0,0,0,Singapore,
3,,Nepal,28.1667,84.25,2020-01-22,0,0,0,Kathmandu,
4,,Malaysia,2.5,112.5,2020-01-22,0,0,0,Sarawak,
5,British Columbia,Canada,49.2827,-123.1207,2020-01-22,0,0,0,British Columbia,
6,New South Wales,Australia,-33.8688,151.2093,2020-01-22,0,0,0,New South Wales,
7,Victoria,Australia,-37.8136,144.9631,2020-01-22,0,0,0,Victoria,
8,Queensland,Australia,-28.0167,153.4,2020-01-22,0,0,0,Queensland,
9,,Cambodia,11.55,104.9167,2020-01-22,0,0,0,Phnom Penh,
10,,Sri Lanka,7.0,81.0,2020-01-22,0,0,0,Sri Jayawardenapura Kotte,
11,,Germany,51.0,9.0,2020-01-22,0,0,0,Berlin,
12,,Finland,64.0,26.0,2020-01-22,0,0,0,Helsinki,
13,,United Arab Emirates,24.0,54.0,2020-01-22,0,0,0,Abu Dhabi,
14,,Philippines,13.0,122.0,2020-01-22,0,0,0,Manila,
15,,India,21.0,78.0,2020-01-22,0,0,0,New Delhi,
16,,Italy,43.0,12.0,2020-01-22,0,0,0,Rome,
17,,Sweden,63.0,16.0,2020-01-22,0,0,0,Stockholm,
18,,Spain,40.0,-4.0,2020-01-22,0,0,0,Toledo,
19,South Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0,South Australia,
20,,Belgium,50.8333,4.0,2020-01-22,0,0,0,Brussels,
21,,Egypt,26.0,30.0,2020-01-22,0,0,0,Cairo,
22,From Diamond Princess,Australia,35.4437,139.638,2020-01-22,0,0,0,From Diamond Princess,
23,,Lebanon,33.8547,35.8623,2020-01-22,0,0,0,Zahlé,
24,,Iraq,33.0,44.0,2020-01-22,0,0,0,Fallujah,
25,,Oman,21.0,57.0,2020-01-22,0,0,0,Muscat,
26,,Afghanistan,33.0,65.0,2020-01-22,0,0,0,Baghran,
27,,Bahrain,26.0275,50.55,2020-01-22,0,0,0,Manama,
28,,Kuwait,29.5,47.75,2020-01-22,0,0,0,Kuwait City,
29,,Algeria,28.0339,1.6596,2020-01-22,0,0,0,Timokten,
30,,Croatia,45.1,15.2,2020-01-22,0,0,0,Jezerane,
31,,Switzerland,46.8182,8.2275,2020-01-22,0,0,0,Bern,
32,,Austria,47.5162,14.5501,2020-01-22,0,0,0,Vienna,
33,,Israel,31.0,35.0,2020-01-22,0,0,0,Jerusalem,
34,,Pakistan,30.3753,69.3451,2020-01-22,0,0,0,Balochistan,
35,,Brazil,-14.235,-51.9253,2020-01-22,0,0,0,Brasília,
36,,Georgia,42.3154,43.3569,2020-01-22,0,0,0,Imereti,
37,,Greece,39.0742,21.8243,2020-01-22,0,0,0,Fournas,
38,,North Macedonia,41.6086,21.7453,2020-01-22,0,0,0,Vojnica,
39,,Norway,60.472,8.4689,2020-01-22,0,0,0,Hol,
40,,Romania,45.9432,24.9668,2020-01-22,0,0,0,Jibert,
41,,Estonia,58.5953,25.0136,2020-01-22,0,0,0,Tallinn,
42,,San Marino,43.9424,12.4578,2020-01-22,0,0,0,San Marino,
43,,Belarus,53.7098,27.9534,2020-01-22,0,0,0,Minsk,
44,,Iceland,64.9631,-19.0208,2020-01-22,0,0,0,Skagafjörður,
45,,Lithuania,55.1694,23.8813,2020-01-22,0,0,0,Vilnius,
46,,Mexico,23.6345,-102.5528,2020-01-22,0,0,0,Zacatecas,
47,,New Zealand,-40.9006,174.886,2020-01-22,0,0,0,Wellington,
48,,Nigeria,9.082,8.6753,2020-01-22,0,0,0,Abuja,
49,Western Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0,Western Australia,
50,,Ireland,53.1424,-7.6921,2020-01-22,0,0,0,Dublin,
51,,Luxembourg,49.8153,6.1296,2020-01-22,0,0,0,Luxembourg,
52,,Monaco,43.7333,7.4167,2020-01-22,0,0,0,Monaco,
53,,Qatar,25.3548,51.1839,2020-01-22,0,0,0,Doha,
54,,Ecuador,-1.8312,-78.1834,2020-01-22,0,0,0,Quito,
55,,Azerbaijan,40.1431,47.5769,2020-01-22,0,0,0,Agjabadi,
56,,Armenia,40.0691,45.0382,2020-01-22,0,0,0,Yerevan,
57,,Dominican Republic,18.7357,-70.1627,2020-01-22,0,0,0,Yamasá,
