,website,url,headline,entities
0,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,What you need to know,[]
1,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Arlington National Cemetery will close to visitors beginning Friday,"[('Arlington National Cemetery', 'ORG'), ('Friday', 'DATE')]"
2,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,"Brazil's president says he expects results from his coronavirus test ""in the next hours""","[('Brazil', 'GPE'), ('the next hours', 'TIME')]"
3,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,House plans to move coronavirus bill quickly tonight when an agreement is reached,"[('House', 'ORG'), ('tonight', 'TIME')]"
4,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,US Southern Command says there are no reports of coronavirus following Brazilian president's visit,"[('US Southern Command', 'ORG'), ('Brazilian', 'NORP')]"
5,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Head coach of English football club tests positive for coronavirus,"[('English', 'NORP')]"
6,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,"Cleveland Cavaliers player donates $100,000 to support staff affected by NBA cancellations","[('Cleveland Cavaliers', 'ORG'), ('100,000', 'MONEY'), ('NBA', 'ORG')]"
7,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Illinois issues guidance on large-scale gatherings,"[('Illinois', 'GPE')]"
8,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Smithsonian Museums and National Zoo close to the public,"[('Smithsonian Museums', 'PERSON'), ('National Zoo', 'ORG')]"
9,CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,School districts across Georgia to close due to the coronavirus,"[('Georgia', 'GPE')]"
10,NBC,https://www.nbcnews.com/health/coronavirus,"From business to sports to politics, coronavirus reaching into every aspect of daily life",[]
11,NBC,https://www.nbcnews.com/health/coronavirus,"One hour, three massive stories. On the other side, a different reality for Americans.","[('One hour', 'TIME'), ('three', 'CARDINAL'), ('Americans', 'NORP')]"
12,NBC,https://www.nbcnews.com/health/coronavirus,Chart: See the day-by-day size of the coronavirus outbreak,"[('day', 'DATE')]"
13,NBC,https://www.nbcnews.com/health/coronavirus,Brazilian official who met Trump at Mar-a-Lago tests positive for coronavirus,"[('Brazilian', 'NORP'), ('Trump', 'PERSON')]"
