fico_score,loan_total,default_total,dti,avg_loan_amnt,median_annual_inc,avg_annual_inc,int_rate,default_rate,actual_default_rate
500,3585,3183,19.73701255,13660.71827,55000,63396.10292,15.35228452,2.463469754,0.52026551
510,8223,7191,19.7478098,13889.67226,56000,65446.52263,15.4402116,5.565444864,1.175378349
520,9792,8370,20.08576083,14186.1392,58728,68261.38708,15.31245098,6.477927063,1.36808744
530,10984,9254,20.2531992,14487.00838,60000,69041.5234,15.44901129,7.162095226,1.512578395
540,12333,10127,20.77044596,14756.36706,60000,69948.95243,15.27102165,7.837749985,1.655271386
550,12817,10164,20.78826012,14864.66412,60000,70157.60817,15.04821175,7.866385982,1.661319085
560,12659,9703,20.97413698,15115.06043,61900,72611.18661,14.93735761,7.509596929,1.585968032
570,12380,9060,20.73102181,15058.6975,62000,72955.58591,14.83095961,7.011949724,1.480868842
580,11723,8004,20.74253178,15020.67517,62000,73070.84885,14.79158065,6.194662869,1.308264262
590,10902,6852,20.73737755,14849.38543,62000,72049.621,14.71287103,5.303077209,1.119968356
600,10509,5881,20.52950899,14597.86849,60600,73563.51652,14.56445333,4.551575754,0.961257137
610,10775,5195,20.39575128,14166.51044,60000,71227.50796,14.45885661,4.020648876,0.84912954
620,11093,4468,20.135828,14026.85252,60984,71958.05663,14.38872081,3.457990217,0.73030044
630,11947,3708,19.7340529,13837.67682,61500,72469.19528,14.13094166,2.869791344,0.606077446
640,13946,2898,19.4469805,13390.99383,62000,73233.50845,13.99130432,2.242895177,0.473681888
650,17249,2310,19.22231955,13144.41852,62000,74223.04512,13.75097687,1.787814996,0.377572519
660,25423,4091,19.07949377,12994.2316,61402,72826.9537,13.93910593,3.166212618,0.668679297
670,33494,5232,19.0901033,13282.261,62000,73685.38687,13.84232878,4.049284874,0.855177238
680,37968,3918,19.08820796,13607.44969,64000,75615.08576,13.36212073,3.03231998,0.640402221
690,40444,2875,18.90813372,14041.9574,65000,77979.87874,12.99737662,2.225094421,0.469922508
700,40425,2027,19.0275577,14434.50711,65000,78835.67874,12.64158738,1.56878831,0.331315799
710,39677,1515,18.70478338,14662.94705,67165,79431.65711,12.19602541,1.172528017,0.24762873
720,37891,1024,18.53456494,14937.35848,68000,80257.22532,11.84989813,0.792520587,0.167374138
730,33519,613,18.31527999,14938.48638,68000,80929.71228,11.40585966,0.474428828,0.100195651
740,27707,447,18.07550691,15084.83867,68000,79821.90075,11.07060021,0.345953811,0.073062734
750,23225,298,17.81805253,15285.38859,69400,81545.86262,10.83639354,0.230635874,0.048708489
760,19593,230,17.65317971,15343.85878,68000,80241.66723,10.54704384,0.178007554,0.037593801
770,17280,167,17.5613125,15383.11921,68000,80632.52855,10.17342593,0.129248963,0.027296368
780,15495,136,17.64274217,15650.19684,69000,80614.71454,9.944391094,0.10525664,0.022229378
790,12844,92,17.47048739,15706.57116,70000,81104.11345,9.542078792,0.071203021,0.01503752
800,10284,72,16.90419195,16277.08333,71000,85119.08572,9.179254181,0.055724104,0.011768494
810,7646,52,16.69450824,16897.77662,75000,88481.14018,8.816126079,0.040245186,0.008499468
820,4769,28,16.14389599,17768.58356,80000,93441.87227,8.404367792,0.021670485,0.004576637
830,2384,14,15.82369547,18694.69379,83750,98683.80575,8.00050755,0.010835242,0.002288318
840,694,6,15.21110951,19062.0317,82000,93740.67375,7.58556196,0.004643675,0.000980708
850,124,3,14.67620968,20082.45968,75000,89507.45161,7.968548387,0.002321838,0.000490354
