Customer,State,CLV,Coverage,Income,loc_type,monthly_premium,months_last_claim,Months_Since_Policy_Inception,Total_Claim_Amount,Vehicle_Class,avg_vehicle_age
BU79786,Washington,2763.519279,Basic,56274,Suburban,69,32,5,384.811147,Two-Door Car,40.69669469
QZ44356,Arizona,6979.535903,Extended,0,Suburban,94,13,42,1131.464935,Four-Door Car,48.91803962
AI49188,Nevada,12887.43165,Premium,48767,Suburban,108,18,38,566.472247,Two-Door Car,48.75529783
WW63253,California,7645.861827,Basic,0,Suburban,106,18,65,529.881344,SUV,60.98460826
HB64268,Washington,2813.692575,Basic,43836,Rural,73,12,44,138.130879,Four-Door Car,70.39447375
OC83172,Oregon,8256.2978,Basic,62902,Rural,69,14,94,159.383042,Two-Door Car,53.46021191
XZ87318,Oregon,5380.898636,Basic,55350,Suburban,67,0,13,321.6,Four-Door Car,32.8115068
CF85061,Arizona,7216.100311,Premium,0,Urban,101,0,68,363.02968,Four-Door Car,26.57673633
DY87989,Oregon,24127.50402,Basic,14072,Suburban,71,13,3,511.2,Four-Door Car,68.52866595
BQ94931,Oregon,7388.178085,Extended,28812,Urban,93,17,7,425.527834,Four-Door Car,54.42663729
SX51350,California,4738.992022,Basic,0,Suburban,67,23,5,482.4,Four-Door Car,61.47101938
VQ65197,California,8197.197078,Basic,0,Suburban,110,27,87,528,SUV,49.43094761
DP39365,California,8798.797003,Premium,77026,Urban,110,9,82,472.029737,Four-Door Car,42.91271741
SJ95423,Arizona,8819.018934,Basic,99845,Suburban,110,23,25,528,SUV,58.98636429
IL66569,California,5384.431665,Basic,83689,Urban,70,21,10,307.139132,Four-Door Car,35.16633067
BW63560,Oregon,7463.139377,Basic,24599,Rural,64,12,50,42.920271,Four-Door Car,67.51504503
FV94802,Nevada,2566.867823,Basic,25049,Suburban,67,14,7,454.245098,Two-Door Car,52.95423176
OE15005,California,3945.241604,Basic,28855,Suburban,101,12,59,647.442031,SUV,51.89449092
WC83389,Oregon,5710.333115,Basic,51148,Urban,72,9,1,308.981664,Four-Door Car,41.63256155
FL50705,California,8162.617053,Premium,66140,Suburban,101,11,21,484.8,Four-Door Car,55.43548761
ZK25313,Oregon,2872.051273,Basic,57749,Suburban,74,31,21,355.2,Two-Door Car,55.60514177
SV62436,Washington,3041.791561,Extended,13789,Suburban,79,8,49,379.2,Four-Door Car,35.82934729
YH23384,Arizona,24127.50402,Basic,14072,Suburban,71,13,3,511.2,Four-Door Car,46.76416172
TZ98966,Nevada,2450.190996,Basic,0,Suburban,73,4,44,554.376763,Four-Door Car,57.63850071
HM55802,California,2392.10789,Basic,17870,Suburban,61,30,91,439.2,Four-Door Car,42.21140385
FS42516,Oregon,5802.065978,Basic,97541,Suburban,72,22,1,389.185006,Four-Door Car,59.73666317
US89481,California,3946.372085,Premium,0,Suburban,111,15,47,799.2,Four-Door Car,48.94339497
HO30839,Washington,5346.916576,Extended,10511,Urban,139,33,64,516.237951,SUV,25.35452947
GE62437,Arizona,12902.56014,Premium,86584,Suburban,111,33,54,532.8,Four-Door Car,52.87585865
EJ77678,Oregon,3235.360468,Extended,75690,Suburban,80,17,44,384,Four-Door Car,56.15444576
SV85652,Arizona,2454.58354,Basic,23158,Suburban,63,4,6,322.294043,Four-Door Car,42.61363552
UL64533,Nevada,18975.45611,Extended,65999,Urban,237,1,14,615.927769,Luxury SUV,58.74825551
PF41800,California,4715.321344,Basic,0,Urban,65,19,56,308.15089,Four-Door Car,50.1395633
AO98601,Washington,5018.885233,Basic,54500,Suburban,63,28,17,302.4,Two-Door Car,53.66609452
SK67821,Oregon,4932.916345,Basic,37260,Rural,62,19,42,15.437681,Four-Door Car,64.45588738
YV55495,Arizona,5744.229745,Basic,68987,Urban,71,11,40,204.475147,Four-Door Car,56.85370078
KY38074,California,13891.73567,Premium,42305,Suburban,117,10,62,561.6,Four-Door Car,42.01040944
DM79012,Oregon,7380.976717,Extended,65706,Suburban,91,19,86,436.8,Four-Door Car,39.07639384
CM61827,Oregon,3090.034104,Extended,0,Suburban,90,7,79,648,Two-Door Car,47.65634842
WC35801,Arizona,2521.633095,Basic,53243,Rural,66,4,15,157.397849,Four-Door Car,35.89445175
QG25316,Nevada,2652.061785,Basic,0,Suburban,70,7,1,484.318536,Two-Door Car,51.83993481
MB98372,Oregon,2771.045031,Basic,50071,Rural,71,3,32,18.918935,Two-Door Car,46.78190055
IL19217,California,3939.00637,Extended,60021,Suburban,99,12,28,882.871945,Four-Door Car,56.43484191
SR38658,Arizona,12231.87968,Basic,43244,Suburban,103,15,16,494.4,Sports Car,32.26099662
DH41343,Washington,2443.665166,Basic,92834,Suburban,61,15,56,292.8,Four-Door Car,42.37409518
HG65722,Oregon,12819.10289,Premium,10105,Rural,172,5,4,0.517753,SUV,54.34169575
BU27331,Arizona,4468.510542,Basic,0,Suburban,73,7,57,579.165954,Four-Door Car,55.07855312
XM45289,Oregon,5514.344018,Basic,23218,Suburban,71,7,10,447.79344,Two-Door Car,46.19970316
KP34198,California,3343.875326,Extended,0,Suburban,92,11,77,529.624084,Four-Door Car,54.37647063
SH90947,Arizona,2294.478927,Basic,0,Suburban,62,11,56,313.023175,Four-Door Car,64.9412338
WE95729,Oregon,36707.42639,Basic,24804,Suburban,104,1,28,593.830288,SUV,44.87750649
PY51963,California,33473.34946,Basic,33190,Suburban,106,18,95,508.8,SUV,34.27505076
RB69909,Nevada,7983.431709,Basic,36014,Rural,69,4,40,173.956072,Four-Door Car,55.66790787
XR95069,Washington,4854.745666,Basic,29834,Suburban,64,19,44,307.2,Four-Door Car,52.59762013
FR46645,California,4293.997319,Premium,16701,Suburban,113,20,26,831.625979,Four-Door Car,48.09423258
SY17488,Arizona,7164.395543,Extended,46623,Suburban,91,1,53,436.8,Four-Door Car,46.06458716
AP67935,California,7619.5158,Basic,64749,Urban,64,24,59,302.56519,Four-Door Car,41.46799173
FS37417,Arizona,3958.002823,Basic,0,Suburban,101,29,12,484.8,SUV,38.4056646
ML29312,Oregon,4499.493252,Extended,16969,Suburban,124,34,47,704.768111,SUV,52.14598022
UB61619,Oregon,4059.567414,Premium,11621,Suburban,108,4,98,518.4,Four-Door Car,41.78746969
CD86811,Arizona,4458.113369,Basic,17622,Suburban,65,1,36,312,Four-Door Car,44.81393993
RU83859,California,8110.333139,Premium,11489,Suburban,105,4,50,504,Two-Door Car,48.25212712
FG63582,Oregon,3339.764873,Extended,0,Suburban,94,20,53,863.327324,Two-Door Car,40.89351873
NN71951,California,24261.01777,Basic,66525,Rural,100,0,86,104.331355,SUV,67.80855548
