ProductCode,Sales,week_date
1,11,12/24/2018
1,12,12/31/2018
1,10,1/7/2019
1,8,1/14/2019
1,13,1/21/2019
1,12,1/28/2019
1,14,2/4/2019
1,21,2/11/2019
1,6,2/18/2019
1,14,2/25/2019
1,11,3/4/2019
1,14,3/11/2019
1,16,3/18/2019
1,9,3/25/2019
1,9,4/1/2019
1,9,4/8/2019
1,14,4/15/2019
1,9,4/22/2019
1,3,4/29/2019
1,12,5/6/2019
1,5,5/13/2019
1,11,5/20/2019
1,7,5/27/2019
1,12,6/3/2019
1,5,6/10/2019
1,9,6/17/2019
1,7,6/24/2019
1,10,7/1/2019
1,5,7/8/2019
1,11,7/15/2019
1,7,7/22/2019
1,10,7/29/2019
1,12,8/5/2019
1,6,8/12/2019
1,5,8/19/2019
1,14,8/26/2019
1,10,9/2/2019
1,9,9/9/2019
1,12,9/16/2019
1,17,9/23/2019
1,7,9/30/2019
1,11,10/7/2019
1,4,10/14/2019
1,7,10/21/2019
1,8,10/28/2019
1,10,11/4/2019
1,12,11/11/2019
1,3,11/18/2019
1,7,11/25/2019
1,6,12/2/2019
1,5,12/9/2019
1,10,12/16/2019
2,7,12/24/2018
2,6,12/31/2018
2,3,1/7/2019
2,2,1/14/2019
2,7,1/21/2019
2,1,1/28/2019
2,6,2/4/2019
2,3,2/11/2019
2,3,2/18/2019
2,3,2/25/2019
2,2,3/4/2019
2,2,3/11/2019
2,6,3/18/2019
2,2,3/25/2019
2,0,4/1/2019
2,6,4/8/2019
2,2,4/15/2019
2,7,4/22/2019
2,7,4/29/2019
2,9,5/6/2019
2,4,5/13/2019
2,7,5/20/2019
2,2,5/27/2019
2,4,6/3/2019
2,5,6/10/2019
2,3,6/17/2019
2,5,6/24/2019
2,8,7/1/2019
2,5,7/8/2019
2,5,7/15/2019
2,3,7/22/2019
2,1,7/29/2019
2,3,8/5/2019
2,2,8/12/2019
2,3,8/19/2019
2,10,8/26/2019
2,5,9/2/2019
2,2,9/9/2019
2,7,9/16/2019
2,3,9/23/2019
2,2,9/30/2019
2,5,10/7/2019
2,2,10/14/2019
2,4,10/21/2019
2,5,10/28/2019
2,1,11/4/2019
2,1,11/11/2019
2,4,11/18/2019
2,5,11/25/2019
2,1,12/2/2019
2,6,12/9/2019
2,0,12/16/2019
3,7,12/24/2018
3,11,12/31/2018
3,8,1/7/2019
3,9,1/14/2019
3,10,1/21/2019
3,8,1/28/2019
3,7,2/4/2019
3,13,2/11/2019
3,12,2/18/2019
3,6,2/25/2019
3,14,3/4/2019
3,9,3/11/2019
3,4,3/18/2019
3,7,3/25/2019
3,12,4/1/2019
3,8,4/8/2019
3,7,4/15/2019
3,11,4/22/2019
3,10,4/29/2019
3,7,5/6/2019
3,7,5/13/2019
3,13,5/20/2019
3,11,5/27/2019
3,8,6/3/2019
3,10,6/10/2019
3,8,6/17/2019
3,14,6/24/2019
3,5,7/1/2019
3,3,7/8/2019
3,13,7/15/2019
3,11,7/22/2019
3,9,7/29/2019
3,7,8/5/2019
3,8,8/12/2019
3,7,8/19/2019
3,9,8/26/2019
3,6,9/2/2019
3,12,9/9/2019
3,12,9/16/2019
3,9,9/23/2019
3,3,9/30/2019
3,5,10/7/2019
3,6,10/14/2019
3,14,10/21/2019
3,5,10/28/2019
3,5,11/4/2019
3,7,11/11/2019
3,8,11/18/2019
3,14,11/25/2019
3,8,12/2/2019
3,8,12/9/2019
3,7,12/16/2019
4,12,12/24/2018
4,8,12/31/2018
4,13,1/7/2019
4,5,1/14/2019
4,9,1/21/2019
4,6,1/28/2019
4,9,2/4/2019
4,13,2/11/2019
4,13,2/18/2019
4,11,2/25/2019
4,8,3/4/2019
4,4,3/11/2019
4,5,3/18/2019
4,4,3/25/2019
4,15,4/1/2019
4,7,4/8/2019
4,11,4/15/2019
4,9,4/22/2019
4,15,4/29/2019
4,4,5/6/2019
4,6,5/13/2019
4,7,5/20/2019
4,11,5/27/2019
4,7,6/3/2019
4,9,6/10/2019
4,6,6/17/2019
4,10,6/24/2019
4,10,7/1/2019
4,2,7/8/2019
4,6,7/15/2019
4,7,7/22/2019
4,2,7/29/2019
4,5,8/5/2019
4,12,8/12/2019
4,5,8/19/2019
4,19,8/26/2019
4,8,9/2/2019
4,6,9/9/2019
4,8,9/16/2019
4,8,9/23/2019
4,12,9/30/2019
4,6,10/7/2019
4,9,10/14/2019
4,10,10/21/2019
4,3,10/28/2019
4,4,11/4/2019
4,6,11/11/2019
4,8,11/18/2019
4,14,11/25/2019
4,8,12/2/2019
4,7,12/9/2019
4,8,12/16/2019
5,8,12/24/2018
5,5,12/31/2018
5,13,1/7/2019
5,11,1/14/2019
5,6,1/21/2019
5,7,1/28/2019
5,9,2/4/2019
5,14,2/11/2019
5,9,2/18/2019
5,9,2/25/2019
5,11,3/4/2019
5,18,3/11/2019
5,8,3/18/2019
5,4,3/25/2019
5,13,4/1/2019
5,8,4/8/2019
5,10,4/15/2019
5,15,4/22/2019
5,6,4/29/2019
5,13,5/6/2019
5,11,5/13/2019
5,6,5/20/2019
5,10,5/27/2019
5,9,6/3/2019
5,8,6/10/2019
5,12,6/17/2019
5,8,6/24/2019
5,9,7/1/2019
5,13,7/8/2019
5,3,7/15/2019
5,5,7/22/2019
5,3,7/29/2019
5,5,8/5/2019
5,5,8/12/2019
5,9,8/19/2019
5,7,8/26/2019
5,4,9/2/2019
5,8,9/9/2019
5,8,9/16/2019
5,5,9/23/2019
5,5,9/30/2019
5,8,10/7/2019
5,7,10/14/2019
5,11,10/21/2019
5,7,10/28/2019
5,12,11/4/2019
5,6,11/11/2019
5,6,11/18/2019
5,5,11/25/2019
5,11,12/2/2019
5,8,12/9/2019
5,9,12/16/2019
6,3,12/24/2018
6,3,12/31/2018
6,2,1/7/2019
6,7,1/14/2019
6,6,1/21/2019
6,3,1/28/2019
6,8,2/4/2019
6,6,2/11/2019
6,6,2/18/2019
6,3,2/25/2019
6,1,3/4/2019
6,1,3/11/2019
6,5,3/18/2019
6,4,3/25/2019
6,3,4/1/2019
6,5,4/8/2019
6,3,4/15/2019
6,5,4/22/2019
6,10,4/29/2019
6,8,5/6/2019
6,4,5/13/2019
6,9,5/20/2019
6,7,5/27/2019
6,5,6/3/2019
6,4,6/10/2019
6,2,6/17/2019
6,1,6/24/2019
6,3,7/1/2019
6,2,7/8/2019
6,4,7/15/2019
6,0,7/22/2019
