start_station_name,date,num_trips
Harry Bridges Plaza (Ferry Building),8/8/2015,35
Harry Bridges Plaza (Ferry Building),6/15/2015,63
Harry Bridges Plaza (Ferry Building),6/3/2015,52
Harry Bridges Plaza (Ferry Building),5/16/2015,37
Harry Bridges Plaza (Ferry Building),2/26/2015,54
Harry Bridges Plaza (Ferry Building),2/5/2015,48
Harry Bridges Plaza (Ferry Building),9/18/2014,56
Harry Bridges Plaza (Ferry Building),10/21/2015,74
Harry Bridges Plaza (Ferry Building),11/22/2015,14
Harry Bridges Plaza (Ferry Building),4/20/2016,61
Harry Bridges Plaza (Ferry Building),4/28/2016,73
Harry Bridges Plaza (Ferry Building),8/12/2016,57
Harry Bridges Plaza (Ferry Building),8/17/2016,65
Harry Bridges Plaza (Ferry Building),10/31/2013,54
Harry Bridges Plaza (Ferry Building),11/23/2013,44
Harry Bridges Plaza (Ferry Building),1/31/2014,47
Harry Bridges Plaza (Ferry Building),2/14/2014,47
Harry Bridges Plaza (Ferry Building),2/17/2014,7
Harry Bridges Plaza (Ferry Building),8/24/2014,32
Harry Bridges Plaza (Ferry Building),8/2/2014,41
Harry Bridges Plaza (Ferry Building),6/11/2015,82
Harry Bridges Plaza (Ferry Building),2/14/2015,59
Harry Bridges Plaza (Ferry Building),10/9/2014,39
Harry Bridges Plaza (Ferry Building),9/26/2014,59
Harry Bridges Plaza (Ferry Building),9/17/2014,75
Harry Bridges Plaza (Ferry Building),2/15/2016,45
Harry Bridges Plaza (Ferry Building),2/26/2016,52
Harry Bridges Plaza (Ferry Building),3/26/2016,23
Harry Bridges Plaza (Ferry Building),6/5/2016,5
Harry Bridges Plaza (Ferry Building),6/14/2016,59
Harry Bridges Plaza (Ferry Building),7/9/2016,30
Harry Bridges Plaza (Ferry Building),9/7/2013,75
Harry Bridges Plaza (Ferry Building),9/18/2013,55
Harry Bridges Plaza (Ferry Building),10/15/2013,58
Harry Bridges Plaza (Ferry Building),10/16/2013,48
Harry Bridges Plaza (Ferry Building),11/2/2013,44
Harry Bridges Plaza (Ferry Building),2/26/2014,29
Harry Bridges Plaza (Ferry Building),7/29/2014,60
Harry Bridges Plaza (Ferry Building),7/24/2014,45
Harry Bridges Plaza (Ferry Building),6/20/2014,56
Harry Bridges Plaza (Ferry Building),6/14/2014,24
Harry Bridges Plaza (Ferry Building),4/9/2014,50
Harry Bridges Plaza (Ferry Building),3/27/2014,52
Harry Bridges Plaza (Ferry Building),7/3/2015,35
Harry Bridges Plaza (Ferry Building),6/6/2015,33
Harry Bridges Plaza (Ferry Building),6/4/2015,88
Harry Bridges Plaza (Ferry Building),5/28/2015,64
Harry Bridges Plaza (Ferry Building),5/21/2015,60
Harry Bridges Plaza (Ferry Building),4/6/2015,65
Harry Bridges Plaza (Ferry Building),11/27/2014,8
Harry Bridges Plaza (Ferry Building),10/25/2014,18
Harry Bridges Plaza (Ferry Building),5/1/2016,24
Harry Bridges Plaza (Ferry Building),5/26/2016,65
Harry Bridges Plaza (Ferry Building),7/26/2016,65
Harry Bridges Plaza (Ferry Building),7/30/2016,16
Harry Bridges Plaza (Ferry Building),8/11/2016,56
Harry Bridges Plaza (Ferry Building),9/13/2013,64
Harry Bridges Plaza (Ferry Building),10/18/2013,69
Harry Bridges Plaza (Ferry Building),11/9/2013,52
Harry Bridges Plaza (Ferry Building),11/21/2013,38
Harry Bridges Plaza (Ferry Building),11/30/2013,26
Harry Bridges Plaza (Ferry Building),8/31/2014,54
Harry Bridges Plaza (Ferry Building),7/31/2014,61
Harry Bridges Plaza (Ferry Building),5/19/2014,64
Harry Bridges Plaza (Ferry Building),4/26/2014,33
Harry Bridges Plaza (Ferry Building),3/30/2014,40
Harry Bridges Plaza (Ferry Building),8/29/2015,23
Harry Bridges Plaza (Ferry Building),5/12/2015,72
Harry Bridges Plaza (Ferry Building),11/28/2014,13
Harry Bridges Plaza (Ferry Building),10/28/2014,66
Harry Bridges Plaza (Ferry Building),11/19/2015,59
Harry Bridges Plaza (Ferry Building),4/23/2016,29
Harry Bridges Plaza (Ferry Building),9/1/2013,71
Harry Bridges Plaza (Ferry Building),9/25/2013,65
Harry Bridges Plaza (Ferry Building),11/16/2013,39
Harry Bridges Plaza (Ferry Building),2/11/2014,49
Harry Bridges Plaza (Ferry Building),5/9/2014,56
Harry Bridges Plaza (Ferry Building),4/27/2014,26
Harry Bridges Plaza (Ferry Building),8/6/2015,63
Harry Bridges Plaza (Ferry Building),8/3/2015,58
Harry Bridges Plaza (Ferry Building),7/6/2015,62
Harry Bridges Plaza (Ferry Building),10/17/2015,29
Harry Bridges Plaza (Ferry Building),10/29/2015,57
Harry Bridges Plaza (Ferry Building),10/31/2015,16
Harry Bridges Plaza (Ferry Building),9/14/2013,65
Harry Bridges Plaza (Ferry Building),10/2/2013,40
Harry Bridges Plaza (Ferry Building),10/17/2013,66
Harry Bridges Plaza (Ferry Building),10/21/2013,52
